seed_id,brand_name,branch_name,type,category_primary,category_secondary,barrio,address,city,hours,instagram,whatsapp,menu_url,price_min_cop,price_max_cop,min_group_size,max_group_size,group_estimate_method,tags,moods,latitude,longitude,geo_status,source_primary,source_secondary,validation_status,notes
11,Cafe Valparaiso,Sede Pance,place,Restaurantes,Cafe y brunch,Pance,"Cra. 125 #23A-58, Mall La Maria",Cali,"Lun 08:30-15:30; Mar-Jue 07:30-21:00; Vie-Sab 07:30-22:00; Dom 07:30-20:00",@cafevalparaiso,6024874758,, , ,1,4,editorial_estimate,"cafe,brunch,literario,pance","brunch,chill,hablar",,,pending_geocode,https://www.waze.com/es/live-map/directions/co/valle-del-cauca/cali/cafe-valparaiso-pance?to=place.ChIJq4k_9LKgMI4RbFDPOgPV5xQ,https://www.vivecali.com/venue/cafe-valparaiso-pance-cali/?lang=en,ready_for_review,Telefono, barrio y horarios reforzados con Waze; falta menu_url y geocodificacion
12,Pulguero Coffee Shop,Sede San Antonio,place,Restaurantes,Cafe y brunch,San Antonio,"Calle 6 #3-75",Cali,"Lun-Sab 09:00-20:00",,3155874199,, , ,1,4,editorial_estimate,"cafe,brunch,vintage,petfriendly","brunch,chill,hablar",,,pending_geocode,https://www.vivecali.com/venue/pulguero-coffee-shop-cali/?lang=en,,ready_for_review,Fuente menciona pet friendly y brunch; falta Instagram oficial
13,Cookie Cat – Coffee and Pet Shop,Sede San Antonio,place,Pet friendly,Cafe tematico,San Antonio,"Calle 3 #10-18",Cali,"Lun cerrado; Mar-Vie 14:00-20:00; Sab-Dom 14:00-21:00",,,,"",,1,4,editorial_estimate,"petfriendly,cafe,gatos,adopcion","chill,amigos,familia",,,pending_geocode,https://www.vivecali.com/venue/cookie-cat-coffee-and-pet-shop/,https://www.vivecali.com/venue/cookie-cat-coffee-and-pet-shop-en-cali/?lang=en,ready_for_review,Hay inconsistencia de direccion entre snippets de la misma marca; validar sede exacta antes de sembrar
14,Tarantella Coffee & Drinks,Sede Boulevard del Rio,place,Restaurantes,Cafe y after work,San Pedro,"Av. 9A #10N-50",Cali,"Lun-Vie 08:00-20:30; Sab 15:30-20:30; Dom 14:00-21:00",@tarantella.coffee,3224359458,https://tarantella.cluvi.co, , ,1,5,editorial_estimate,"cafe,afterwork,cocteles,postres","tomar algo,chill,amigos",,,pending_geocode,https://www.vivecali.com/venue/tarantella-coffee-drinks-cali/,https://es.restaurantguru.com/Tarantella-coffee-and-Drinks-Cali,ready_for_review,Se prioriza la sede con direccion consistente en fuentes; quedan otras sedes para otra tanda
15,El Tertuliadero Finisterra,Sede Loma de la Cruz,place,Vida nocturna,Cafe bar,Loma de la Cruz,"Cra. 16 #3-40",Cali,"Mie-Sab 17:00-01:00; Dom 16:00-00:00",,3177182829,, , ,2,6,editorial_estimate,"cafe bar,musica,cultural,san antonio","hablar,tomar algo,con amigos",,,pending_geocode,https://www.vivecali.com/venue/el-tertuliadero-finisterra-cali/,,ready_for_review,Buen hibrido entre cultural, cafe y noche
16,El Toro Enamorao,Sede Granada,place,Restaurantes,Restaurante show,Granada,"Cl. 17 Nte. #9-38",Cali,"Lun-Mie 12:00-22:00; Jue 12:00-23:00; Vie-Sab 12:00-00:00; Dom 12:00-17:00",@eltoroenamorao,3160276332,, , ,2,8,editorial_estimate,"restaurante,shows,mediterraneo,granada","algo especial,amigos,tomar algo",,,pending_geocode,https://www.vivecali.com/venue/el-toro-enamorao-cali/?lang=en,https://www.tripadvisor.com/Restaurant_Review-g297475-d28491056-Reviews-El_Toro_Enamorao-Cali_Valle_del_Cauca_Department.html,ready_for_review,Horario y contacto reforzados; falta menu_url oficial y geocodificacion
17,SAGAN Cali,Sede El Peñon,place,Vida nocturna,Bar discoteca rooftop,El Peñon,"Carrera 2 Oeste #2-39",Cali,"Vie-Sab 22:00-04:00; eventos privados bajo reserva",@sagancali,"+57 315 304 4792",, , ,2,8,editorial_estimate,"rooftop,discoteca,urbano,cocteles","bailar,tomar algo,con amigos",,,pending_geocode,https://www.vivecali.com/venue/sagan-cali-bar-discoteca/,https://www.vivecali.com/venue/sagan-cali-bar-discoteca/?lang=en,ready_for_review,Direccion y horario consistentes entre las dos variantes de la ficha; falta geocodificacion
18,Tiendavieja,Sede Autopista Sur,place,Vida nocturna,Viejoteca y restaurante,Autopista Sur,"Autopista Sur con Carrera 43 esquina",Cali,"Domingos desde 15:00; otras franjas por validar",,,,"",,2,8,editorial_estimate,"viejoteca,salsa,tradicional,restaurante","bailar,con amigos,familia",,,pending_geocode,https://www.vivecali.com/venue/tiendavieja-cali/,,ready_for_review,Revisar horario semanal exacto antes de sembrar definitivo
19,Local Burger,Sede Granada,place,Restaurantes,Hamburguesas,Granada,"Av 9 Norte #9-31",Cali,"Mar-Jue 17:00-22:00; Vie 12:00-23:00; Sab 17:00-23:00; Dom 17:00-22:00",@localburgercali,3174233636,https://www.localburger.com.co/shop,23000,31900,1,6,editorial_estimate,"burger,casual,delivery,fast casual","tengo hambre,algo rico,amigos",,,pending_geocode,https://www.localburger.com.co/page/contactus,https://www.localburger.com.co/shop/product/local-burger-16,ready_for_review,Sede principal bien respaldada por sitio oficial; falta geocodificacion
20,Local Burger,Sede Hacienda / Comuna 17,place,Restaurantes,Hamburguesas,Comuna 17,"Carrera 70 #13A1-11",Cali,"Lun-Dom 17:00-22:30 aprox.",@localburgercali,,,22000,30000,1,6,editorial_estimate,"burger,casual,sur,delivery","tengo hambre,algo rico,amigos",,,pending_geocode,https://www.rappi.com.co/restaurantes/900049644-local-burger/ubicacion,https://es.restaurantguru.com/Local-Burger-La-hacienda-Cali,ready_for_review,Queda como segunda sede tentativa de la marca; falta validar nombre comercial exacto, menu_url y geocodificacion
