type,slug,name,short_description,cover_image_url,gallery_urls,category,city,tags,moods,is_active,is_featured
place,el-chuzo-de-nando,El Chuzo de Nando,Chuzos y comida rapida para parche casual en Pance.,https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"chuzos,comida rapida,pance,lago verde","casual,rapido,con amigos",true,false
place,mr-tenders,Mr Tenders,Chicken tenders y combos para plan facil en Lago Verde.,https://images.unsplash.com/photo-1562967916-eb82221dfb92?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"pollo,tenders,pance,lago verde","casual,rapido,con amigos",true,false
place,la-propia-burger,La Propia Burger,Hamburgueseria casual para antojo y plan relajado en Pance.,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"hamburguesas,pance,lago verde,casual","antojo,casual,con amigos",true,false
place,vital-bistro,Vital Bistro,Cocina ligera y bowls para plan saludable en Lago Verde.,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"saludable,bistro,pance,lago verde","light,tranqui,comer rico",true,false
place,klub-berry-acai,Klub Berry Acai,Bowls de acai y smoothies para plan fresco en Pance.,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"acai,smoothies,pance,lago verde","light,fresco,tranqui",true,false
place,palo-mulata,Palo Mulata,Restaurante bar para comer y alargar la tarde en Lago Verde.,https://images.unsplash.com/photo-1559339352-11d035aa65de?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"bar restaurante,pance,lago verde,cocteles","con amigos,noche,comer rico",true,false
place,la-botella-malecon,La Botella Malecon,Cocteleria y comida para parche de tarde y noche en Pance.,https://images.unsplash.com/photo-1470337458703-46ad1756a187?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"cocteles,pance,lago verde,bar","noche,con amigos,algo especial",true,false
place,wetsunday,Wetsunday,Bar de plan social y drinks dentro del circuito de Lago Verde.,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"bar,pance,lago verde,drinks","noche,fiesta,con amigos",true,false
place,cafe-viajero,El Café Viajero,Cafe para pausa suave y parche conversado en Pance.,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"cafe,pance,lago verde,postres","cafe,chill,hablar",true,false
place,ultimate-padel,Ultimate Padel,Padel para jugar en parche y reservar cancha en Pance.,https://images.unsplash.com/photo-1622279457486-62dcc4a431d6?auto=format&fit=crop&w=1200&q=80,,Deporte y bienestar,Cali,"padel,deporte,pance,reservas","activo,con amigos,deporte",true,false
place,mushu,Mushu,"Bubble tea, cafe y plan dulce con sedes en Pance y Miraflores.",https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"bubble tea,cafe,pance,miraflores,dulce","cafe,tranqui,algo especial",true,false
place,el-toro-enamorao,El Toro Enamorao,Parrilla y cocina carnivora para plan de almuerzo o cena en Granada.,https://images.unsplash.com/photo-1558030006-450675393462?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"parrilla,granada,carnes,almuerzo","comer rico,con amigos,casual",true,false
place,nikkei-232,Nikkei 232,Cocina nikkei para plan de sushi y piqueo en el sur.,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"nikkei,sushi,sur,aire libre","comer rico,casual,con amigos",true,false
place,chilitaco,Chilitaco,Taqueria casual y rendidora para parche relajado en el Parque del Perro.,https://images.unsplash.com/photo-1552332386-f8dd00dc2f85?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"tacos,mexicano,parque del perro,san fernando","casual,comer rico,con amigos",true,false
place,sushi-green,Sushi Green,Sushi de plan casual para almuerzo o noche tranquila en el Parque del Perro.,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"sushi,parque del perro,san fernando,japones","casual,comer rico,hablar",true,false
place,cheers-pizzeria,Cheers Pizzeria,Pizzeria de parche amplio y facil para grupos en el Parque del Perro.,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"pizza,parque del perro,san fernando,grupos","casual,con amigos,comer rico",true,false
place,jugos-parque-del-perro,Jugos Parque del Perro,Parada simple y conocida para jugos y comida rapida en la zona.,https://images.unsplash.com/photo-1622597467836-f3285f2131b8?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"jugos,comida casual,parque del perro,san fernando","casual,rapido,tranqui",true,false
place,agave-azul-cocina-bar,Agave Azul,Cocina mexicana y cocteleria de autor en Lago Verde para tardeo o noche.,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"mexicano,cocteles,pance,lago verde,cena","tomar algo,con amigos,noche",true,false
place,vinciatti,Vinciatti,"Gelato italiano, tarta vasca, brownies y cafe para parche dulce en Lago Verde.",https://images.unsplash.com/photo-1563805042-7684c019e1cb?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"gelato,postres,cafe,pance,lago verde","dulce,tranqui,antojo",true,false
place,renata-tacos,Renata Tacos,"Taqueria mexicana para tacos, gringas y antojo casual en Cali.",https://images.unsplash.com/photo-1552332386-f8dd00dc2f85?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"tacos,mexicano,pance,lago verde,parque del perro","casual,antojo,con amigos",true,false
place,la-gaucha-angus,La Gaucha Angus,Hamburgueseria para parche casual y noche ligera en Lago Verde.,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"hamburguesa,pance,lago verde,casual","casual,con amigos,comer rico",true,false
place,panaderia-le-croissant,Le Croissant,"Panaderia y desayunos para cafe, antojo salado y parche suave en Lago Verde.",https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"panaderia,cafe,desayuno,pance,lago verde","cafe,desayuno,tranqui",true,false
place,cafe-milagro-de-junio,Milagro de Junio,"Cafe de especialidad para brunch, bebidas y parche suave dentro de Lago Verde.",https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"cafe,brunch,pance,lago verde,desayuno","cafe,tranqui,hablar",true,false
place,artesapan-gourmet,Artesapan Gourmet,"Panaderia y cafe para desayunos, hojaldres y bebidas en Lago Verde.",https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"panaderia,cafe,pance,lago verde","desayuno,tranqui,cafe",true,false
place,nami-reposteria,Nami Reposteria,Postres y pavlovas para parche dulce en Lago Verde.,https://images.unsplash.com/photo-1488477181946-6428a0291777?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"postres,pavlova,pance,lago verde","dulce,antojo,algo especial",true,false
place,rainbow-bakery,Rainbow Bakery,"Bakery de galletas, brownies y antojos dulces en Lago Verde.",https://images.unsplash.com/photo-1555507036-ab1f4038808a?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"bakery,postres,galletas,pance,lago verde","dulce,antojo,casual",true,false
place,t4,T4,Bebidas a base de te y plan fresco para tardear en Cali.,https://images.unsplash.com/photo-1515823064-d6e0c04616a7?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"te,bubble tea,bebidas,pance,lago verde,mallplaza","fresco,antojo,casual",true,false
place,maranello,Maranello,"Pasta casual con sedes en Parque del Perro y Jardin Plaza para antojo italiano y comida rica en Cali.",https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"pasta,italiano,cali,parque del perro,jardin plaza","comer rico,casual,con amigos",true,false
